date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:05:57	77235/77235	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20Dec%202023%2006:34:23%20GMT	https://static.laralink.com/html/sattiyas/shop.html	D:/ChatGPT/layout_duan1/static.laralink.com/html/sattiyas/shop.html	(from )
22:05:58	109/109	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2011%20Mar%202024%2015:05:58%20GMT	https://static.laralink.com/robots.txt		(from )
22:05:59	1648/1648	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226534bbe6-670%22	https://static.laralink.com/html/sattiyas/assets/img/FAVICON.svg	D:/ChatGPT/layout_duan1/static.laralink.com/html/sattiyas/assets/img/FAVICON.svg	(from https://static.laralink.com/html/sattiyas/shop.html)
22:06:00	232948/232948	---MCZ	200	added ('OK')	text/css	etag:W/%2265054e34-38df4%22	https://static.laralink.com/html/sattiyas/assets/css/bootstrap.min.css	D:/ChatGPT/layout_duan1/static.laralink.com/html/sattiyas/assets/css/bootstrap.min.css	(from https://static.laralink.com/html/sattiyas/shop.html)
22:06:02	129149/129149	---MCZ	200	added ('OK')	text/css	etag:W/%226505413e-1f87d%22	https://static.laralink.com/html/sattiyas/assets/css/fontawesome.min.css	D:/ChatGPT/layout_duan1/static.laralink.com/html/sattiyas/assets/css/fontawesome.min.css	(from https://static.laralink.com/html/sattiyas/shop.html)
22:06:03	1649/1649	---MCZ	200	added ('OK')	text/css	etag:W/%22650bb622-671%22	https://static.laralink.com/html/sattiyas/assets/css/slick.css	D:/ChatGPT/layout_duan1/static.laralink.com/html/sattiyas/assets/css/slick.css	(from https://static.laralink.com/html/sattiyas/shop.html)
22:06:04	32042/32042	---MCZ	200	added ('OK')	text/css	etag:W/%2265053aea-7d2a%22	https://static.laralink.com/html/sattiyas/assets/css/jquery-ui.min.css	D:/ChatGPT/layout_duan1/static.laralink.com/html/sattiyas/assets/css/jquery-ui.min.css	(from https://static.laralink.com/html/sattiyas/shop.html)
22:06:05	26809/26809	---MCZ	200	added ('OK')	text/css	etag:W/%22654a4806-68b9%22	https://static.laralink.com/html/sattiyas/assets/css/animated-headline.css	D:/ChatGPT/layout_duan1/static.laralink.com/html/sattiyas/assets/css/animated-headline.css	(from https://static.laralink.com/html/sattiyas/shop.html)
22:06:06	150271/150271	---MCZ	200	added ('OK')	text/css	etag:W/%22656ad146-24aff%22	https://static.laralink.com/html/sattiyas/assets/css/style.css	D:/ChatGPT/layout_duan1/static.laralink.com/html/sattiyas/assets/css/style.css	(from https://static.laralink.com/html/sattiyas/shop.html)
22:06:07	64963/64963	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20Dec%202023%2006:24:59%20GMT	https://static.laralink.com/html/sattiyas/about.html	D:/ChatGPT/layout_duan1/static.laralink.com/html/sattiyas/about.html	(from https://static.laralink.com/html/sattiyas/shop.html)
22:06:08	144574/144574	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20Dec%202023%2006:24:59%20GMT	https://static.laralink.com/html/sattiyas/index.html	D:/ChatGPT/layout_duan1/static.laralink.com/html/sattiyas/index.html	(from https://static.laralink.com/html/sattiyas/shop.html)
22:06:09	7014/7014	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2265337362-1b66%22	https://static.laralink.com/html/sattiyas/assets/img/logo.svg	D:/ChatGPT/layout_duan1/static.laralink.com/html/sattiyas/assets/img/logo.svg	(from https://static.laralink.com/html/sattiyas/shop.html)
22:06:09	73035/73035	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20Dec%202023%2006:24:59%20GMT	https://static.laralink.com/html/sattiyas/home-v2.html	D:/ChatGPT/layout_duan1/static.laralink.com/html/sattiyas/home-v2.html	(from https://static.laralink.com/html/sattiyas/shop.html)
22:06:10	111496/111496	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20Dec%202023%2006:32:19%20GMT	https://static.laralink.com/html/sattiyas/home-v3.html	D:/ChatGPT/layout_duan1/static.laralink.com/html/sattiyas/home-v3.html	(from https://static.laralink.com/html/sattiyas/shop.html)
22:06:10	68108/68108	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20Dec%202023%2006:34:23%20GMT	https://static.laralink.com/html/sattiyas/shop_sidebar.html	D:/ChatGPT/layout_duan1/static.laralink.com/html/sattiyas/shop_sidebar.html	(from https://static.laralink.com/html/sattiyas/shop.html)
22:06:11	37493/37493	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20Dec%202023%2006:24:59%20GMT	https://static.laralink.com/html/sattiyas/product_details.html	D:/ChatGPT/layout_duan1/static.laralink.com/html/sattiyas/product_details.html	(from https://static.laralink.com/html/sattiyas/shop.html)
22:06:11	29688/29688	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20Dec%202023%2006:24:59%20GMT	https://static.laralink.com/html/sattiyas/blog.html	D:/ChatGPT/layout_duan1/static.laralink.com/html/sattiyas/blog.html	(from https://static.laralink.com/html/sattiyas/shop.html)
22:06:11	28771/28771	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20Dec%202023%2006:24:59%20GMT	https://static.laralink.com/html/sattiyas/blog_details.html	D:/ChatGPT/layout_duan1/static.laralink.com/html/sattiyas/blog_details.html	(from https://static.laralink.com/html/sattiyas/shop.html)
22:06:12	20622/20622	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20Dec%202023%2006:24:59%20GMT	https://static.laralink.com/html/sattiyas/cart.html	D:/ChatGPT/layout_duan1/static.laralink.com/html/sattiyas/cart.html	(from https://static.laralink.com/html/sattiyas/shop.html)
22:06:12	22871/22871	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20Dec%202023%2006:24:59%20GMT	https://static.laralink.com/html/sattiyas/checkout.html	D:/ChatGPT/layout_duan1/static.laralink.com/html/sattiyas/checkout.html	(from https://static.laralink.com/html/sattiyas/shop.html)
22:06:12	18761/18761	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20Dec%202023%2006:24:59%20GMT	https://static.laralink.com/html/sattiyas/success.html	D:/ChatGPT/layout_duan1/static.laralink.com/html/sattiyas/success.html	(from https://static.laralink.com/html/sattiyas/shop.html)
22:06:13	19245/19245	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20Dec%202023%2006:24:59%20GMT	https://static.laralink.com/html/sattiyas/wishlist.html	D:/ChatGPT/layout_duan1/static.laralink.com/html/sattiyas/wishlist.html	(from https://static.laralink.com/html/sattiyas/shop.html)
22:06:13	38501/38501	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20Dec%202023%2006:38:31%20GMT	https://static.laralink.com/html/sattiyas/contact.html	D:/ChatGPT/layout_duan1/static.laralink.com/html/sattiyas/contact.html	(from https://static.laralink.com/html/sattiyas/shop.html)
22:06:15	128833/128833	---M--	200	added ('OK')	image/jpeg	etag:%22654aa2d0-1f741%22	https://static.laralink.com/html/sattiyas/assets/img/shop_bg.jpg	D:/ChatGPT/layout_duan1/static.laralink.com/html/sattiyas/assets/img/shop_bg.jpg	(from https://static.laralink.com/html/sattiyas/shop.html)
22:06:16	68025/68025	---M--	200	added ('OK')	image/png	etag:%22654aa091-109b9%22	https://static.laralink.com/html/sattiyas/assets/img/product1.png	D:/ChatGPT/layout_duan1/static.laralink.com/html/sattiyas/assets/img/product1.png	(from https://static.laralink.com/html/sattiyas/shop.html)
22:06:17	72521/72521	---M--	200	added ('OK')	image/png	etag:%22654aa099-11b49%22	https://static.laralink.com/html/sattiyas/assets/img/product2.png	D:/ChatGPT/layout_duan1/static.laralink.com/html/sattiyas/assets/img/product2.png	(from https://static.laralink.com/html/sattiyas/shop.html)
22:06:18	74210/74210	---M--	200	added ('OK')	image/png	etag:%22654aa0a2-121e2%22	https://static.laralink.com/html/sattiyas/assets/img/product3.png	D:/ChatGPT/layout_duan1/static.laralink.com/html/sattiyas/assets/img/product3.png	(from https://static.laralink.com/html/sattiyas/shop.html)
